date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:41:21	32689/32689	---MCZ	200	added ('OK')	text/html	etag:W/%226399b479-7fb1%22	https://htmldemo.net/facon/facon/wishlist.html	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/wishlist.html	(from https://htmldemo.net/facon/facon/index-4.html)
08:41:21	31787/31787	---MCZ	200	added ('OK')	text/html	etag:W/%226399b46d-7c2b%22	https://htmldemo.net/facon/facon/contact.html	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/contact.html	(from https://htmldemo.net/facon/facon/index-4.html)
08:41:21	3453/3453	---MC-	200	added ('OK')	image/png	date:Sat,%2018%20Nov%202023%2001:41:22%20GMT	https://htmldemo.net/facon/facon/img/logo/logo1.png	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/img/logo/logo1.png	(from https://htmldemo.net/facon/facon/index-4.html)
08:41:22	48446/48446	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Nov%202023%2001:41:22%20GMT	https://htmldemo.net/facon/facon/img/products/1.jpg	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/img/products/1.jpg	(from https://htmldemo.net/facon/facon/index-4.html)
08:41:22	70024/70024	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Nov%202023%2001:41:22%20GMT	https://htmldemo.net/facon/facon/img/products/2.jpg	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/img/products/2.jpg	(from https://htmldemo.net/facon/facon/index-4.html)
08:41:23	18439/18439	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Nov%202023%2001:41:23%20GMT	https://htmldemo.net/facon/facon/img/banner/01_home-4.jpg	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/img/banner/01_home-4.jpg	(from https://htmldemo.net/facon/facon/index-4.html)
08:41:23	29170/29170	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Nov%202023%2001:41:23%20GMT	https://htmldemo.net/facon/facon/img/banner/02_home-4.jpg	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/img/banner/02_home-4.jpg	(from https://htmldemo.net/facon/facon/index-4.html)
08:41:23	31466/31466	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Nov%202023%2001:41:23%20GMT	https://htmldemo.net/facon/facon/img/banner/03_home-4.jpg	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/img/banner/03_home-4.jpg	(from https://htmldemo.net/facon/facon/index-4.html)
08:41:23	16209/16209	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Nov%202023%2001:41:24%20GMT	https://htmldemo.net/facon/facon/img/banner/04_home-4.jpg	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/img/banner/04_home-4.jpg	(from https://htmldemo.net/facon/facon/index-4.html)
08:41:24	17342/17342	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Nov%202023%2001:41:24%20GMT	https://htmldemo.net/facon/facon/img/banner/05_home-4.jpg	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/img/banner/05_home-4.jpg	(from https://htmldemo.net/facon/facon/index-4.html)
08:41:24	64862/64862	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Nov%202023%2001:41:24%20GMT	https://htmldemo.net/facon/facon/img/products/3.jpg	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/img/products/3.jpg	(from https://htmldemo.net/facon/facon/index-4.html)
08:41:24	95773/95773	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Nov%202023%2001:41:25%20GMT	https://htmldemo.net/facon/facon/img/products/4.jpg	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/img/products/4.jpg	(from https://htmldemo.net/facon/facon/index-4.html)
08:41:25	68790/68790	---M--	200	added ('OK')	image/jpeg	date:Sat,%2018%20Nov%202023%2001:41:25%20GMT	https://htmldemo.net/facon/facon/img/products/9.jpg	C:/My%20Web%20Sites/client2/htmldemo.net/facon/facon/img/products/9.jpg	(from https://htmldemo.net/facon/facon/index-4.html)
